Event_Id,Event_URL,Event_Title,Event_startDate,Location_formattedAddress,Location_Latitude,Location_Longitude,Location_Location,Location_Name,Location_countryCode,State_countryCode,State_Code,State_Name
EV-20250412-3111,https://paddleguru.com/races/NarrowRiverRace2025,Narrow River Race 2025,2025-04-12,"South Kingstown, RI, USA",41.4409399,-71.5022778,"point({srid:4326, x:-71.5022778, y:41.4409399})","South Kingstown, RI, United States",US,US,RI,Rhode Island
EV-20250413-2949,https://paddleguru.com/races/RedwoodWaterSportsRace8SpringCelebration,Redwood Water Sports Race #8 Spring Celebration,2025-04-13,"487 Seaport Ct, Redwood City, CA 94063, USA",37.5043571,-122.2127742,"point({srid:4326, x:-122.2127742, y:37.5043571})","487 Seaport Court, Redwood City, CA, USA",US,US,CA,California
EV-20250419-2950,https://paddleguru.com/races/BlackBeltPaddlerChallenge2025,Black Belt Paddler Challenge 2025,2025-04-19,"3601 Rickenbacker Cswy, Key Biscayne, FL 33149, USA",25.7403333,-80.16743249999999,"point({srid:4326, x:-80.16743249999999, y:25.7403333})","3601 Rickenbacker Causeway, Key Biscayne, FL, USA",US,US,FL,Florida
EV-20250426-2951,https://paddleguru.com/races/GigHarborPaddlersCup2025,Gig Harbor Paddlers Cup 2025,2025-04-26,"Skansie Brothers Park and Netshed, 3211 Harborview Dr, Gig Harbor, WA 98335, USA",47.33062,-122.5815288,"point({srid:4326, x:-122.5815288, y:47.33062})","Skansie Brothers Park, 3211 Harborview Drive, Gig Harbor, WA",US,US,WA,Washington
EV-20250503-2953,https://paddleguru.com/races/BluetBrawlTexasPaddleRace2025,Bluet Brawl Texas Paddle Race 2025,2025-05-03,"218A Orchid Hill Ln, Argyle, TX 76226, USA",33.1072272,-97.07539159999999,"point({srid:4326, x:-97.07539159999999, y:33.1072272})","218a Orchid Hill Lane, Argyle, TX, USA",US,US,TX,Texas
EV-20250503-3112,https://paddleguru.com/races/UrbanKaiPaddleInvasion2025,Urban Kai Paddle Invasion 2025,2025-05-03,"310 W 7th Ave, Tampa, FL 33602, USA",27.9603741,-82.4636931,"point({srid:4326, x:-82.4636931, y:27.9603741})","310 West 7th Avenue, Tampa, FL, USA",US,US,FL,Florida
EV-20250503-3124,https://paddleguru.com/races/DRCanalRaceSpring2025,D&R Canal Race Spring 2025,2025-05-03,"483 Alexander St, Princeton, NJ 08540, USA",40.3324275,-74.6527375,"point({srid:4326, x:-74.6527375, y:40.3324275})","483 Alexander Street, Princeton, NJ, USA",US,US,NJ,New Jersey
EV-20250503-3125,https://paddleguru.com/races/RivannaRiverRumble,Rivanna River Rumble,2025-05-03,"Charlottesville, VA, USA",38.0301826,-78.4769353,"point({srid:4326, x:-78.4769353, y:38.0301826})","Charlottesville, VA, USA",US,US,VA,Virginia
EV-20250509-3127,https://paddleguru.com/races/PerformancePaddlingsAfterglowSeriesRace32025,"Performance Paddling's Afterglow Series  : Race 3, 2025",2025-05-09,"34451 Ensenada Pl, Dana Point, CA 92629, USA",33.4627216,-117.7048568,"point({srid:4326, x:-117.7048568, y:33.4627216})","Baby Beach, Dana Point, CA, USA",US,US,CA,California
EV-20250510-2954,https://paddleguru.com/races/4thAnnualNavarrePaddleClassic2025,4th Annual Navarre Paddle Classic 2025,2025-05-10,"8739 Gulf Blvd, Navarre, FL 32566, USA",30.3830252,-86.8568499,"point({srid:4326, x:-86.8568499, y:30.3830252})","Navarre Beach Marine Park, Navarre FL",US,US,FL,Florida
EV-20250510-3007,https://paddleguru.com/races/KeyWestPaddleClassic2025,Key West Paddle Classic 2025,2025-05-10,"1000 Atlantic Blvd, Key West, FL 33040, USA",24.5474621,-81.7878013,"point({srid:4326, x:-81.7878013, y:24.5474621})","1000 Atlantic Boulevard, Key West, FL, USA",US,US,FL,Florida
EV-20250510-3128,https://paddleguru.com/races/THELOOP2025REGISTRATIONISCLOSED,THE LOOP 2025---REGISTRATION IS CLOSED---,2025-05-10,"Coronado, CA, USA",32.6859012,-117.1798603,"point({srid:4326, x:-117.1798603, y:32.6859012})","Coronado, CA, USA",US,US,CA,California
EV-20250510-3129,https://paddleguru.com/races/OccoquanReservoirRace,Occoquan Reservoir Race,2025-05-10,"10875 Hampton Rd, Fairfax Station, VA 22039, USA",38.7272117,-77.3200105,"point({srid:4326, x:-77.3200105, y:38.7272117})",null,US,US,VA,Virginia
EV-20250517-2957,https://paddleguru.com/races/ThiefNeckIslandPaddleQuestDUO,Thief Neck Island Paddle Quest DUO,2025-05-17,"Rockwood Marina & RV Resort, 1500 Pumphouse Rd, Rockwood, TN 37854, USA",35.8364136,-84.67908129999999,"point({srid:4326, x:-84.67908129999999, y:35.8364136})","Rockwood Marina & RV Resort 1500 Pumphouse Rd Rockwood, TN 37854",US,US,TN,Tennessee
EV-20250517-2958,https://paddleguru.com/races/SuncoastPaddleChallenge2025,Suncoast Paddle Challenge 2025,2025-05-17,"Clearwater, FL, USA",27.9655722,-82.7958948,"point({srid:4326, x:-82.7958948, y:27.9655722})","Clearwater, FL, USA",US,US,FL,Florida
EV-20250517-3113,https://paddleguru.com/races/2025ColumbiaYachtClubChicagoSkylineSUPRace,2025 Columbia Yacht Club Chicago Skyline SUP Race,2025-05-17,"111 N Jean Baptiste Pointe du Sable Lake Shore Dr, Chicago, IL 60601, USA",41.8842108,-87.6132623,"point({srid:4326, x:-87.6132623, y:41.8842108})","111 North Lake Shore Drive, Chicago, IL, USA",US,US,IL,Illinois
EV-20250525-3130,https://paddleguru.com/races/NACOPENWATERMemorialDayRace,NAC+OPENWATER Memorial Day Race,2025-05-25,"1 Whitecliffs Dr, Newport Beach, CA 92660, USA",33.6252633,-117.8938935,"point({srid:4326, x:-117.8938935, y:33.6252633})","1 Whitecliffs Dr, Newport Beach, CA, United States",US,US,CA,California
EV-20250531-2960,https://paddleguru.com/races/NACElMorroClassic2025,NAC El Morro Classic 2025,2025-05-31,"1 Whitecliffs Dr, Newport Beach, CA 92660, USA",33.6252633,-117.8938935,"point({srid:4326, x:-117.8938935, y:33.6252633})","1 Whitecliffs Dr, Newport Beach, CA, United States",US,US,CA,California
EV-20250531-3003,https://paddleguru.com/races/ClemsonPaddleJam2025,Clemson Paddle Jam 2025,2025-05-31,"12 Mile Park Rd, Clemson, SC 29631, USA",34.7046838,-82.8352723,"point({srid:4326, x:-82.8352723, y:34.7046838})","12 Mile Park Road, Clemson, SC, USA",US,US,SC,South Carolina
EV-20250607-3151,https://paddleguru.com/races/OCQRiverPaddleChallenge2025,OCQ River Paddle Challenge 2025,2025-06-07,"Occoquan Regional Park, 9751 Ox Rd, Lorton, VA 22079, USA",38.6932898,-77.25575719999999,"point({srid:4326, x:-77.25575719999999, y:38.6932898})","Occoquan Regional Park, 9751 Ox Road, Lorton, VA, USA",US,US,VA,Virginia
EV-20250613-2989,https://paddleguru.com/races/USASurfingSUPProneNationalChampionshipsTeamTrials2025,USA Surfing SUP+Prone National Championships & Team Trials 2025,2025-06-13,"Harbor Dr, Oceanside, CA, USA",33.2084964,-117.3890241,"point({srid:4326, x:-117.3890241, y:33.2084964})","Harbor Drive, Oceanside, CA, USA",US,US,CA,California
EV-20250614-2962,https://paddleguru.com/races/NCAMonumentalOutriggerCanoeRace2025,NCA Monumental Outrigger Canoe Race 2025,2025-06-14,"Anacostia Community Boathouse Meeting Room, 1900 M St SE, Washington, DC 20003, USA",38.8788332,-76.9753999,"point({srid:4326, x:-76.9753999, y:38.8788332})","1900 M Street Southeast, Washington, DC, United States",US,US,WA,Washington
EV-20250621-2964,https://paddleguru.com/races/PaddleRoundtheIsland2025,Paddle Round the Island 2025,2025-06-21,"1350 John Tyler Hwy, Williamsburg, VA 23185, USA",37.2671075,-76.8706548,"point({srid:4326, x:-76.8706548, y:37.2671075})","1350 John Tyler Highway, Williamsburg, VA, USA",US,US,VA,Virginia
EV-20250621-2965,https://paddleguru.com/races/PaddleMania2025,Paddle Mania 2025,2025-06-21,"3105 Clarks Bridge Rd, Gainesville, GA 30506, USA",34.3543088,-83.7936746,"point({srid:4326, x:-83.7936746, y:34.3543088})","3105 Clarks Bridge Road, Gainesville, GA, USA",US,US,GA,Georgia
EV-20250621-3133,https://paddleguru.com/races/LakeLivingstonPaddleFest,Lake Livingston Paddle Fest,2025-06-21,"MX4R+XQG, West Livingston, TX 77351, USA",30.6574375,-95.0080469,"point({srid:4326, x:-95.0080469, y:30.6574375})","MX4R+XQG West Livingston, TX 77351, USA",US,US,TX,Texas
EV-20250621-3134,https://paddleguru.com/races/RidetheBull2025,Ride the Bull 2025,2025-06-21,"Fort Wetherill State Park, 3 Fort Wetherill Rd, Jamestown, RI 02835, USA",41.4778494,-71.3584623,"point({srid:4326, x:-71.3584623, y:41.4778494})","Fort Wetherill, Jamestown, RI, United States",US,US,RI,Rhode Island
EV-20250621-3135,https://paddleguru.com/races/45NorthSolsticePaddleFestival2025,45 North Solstice Paddle Festival 2025,2025-06-21,"Sutton Park, Suttons Bay, MI 49682, USA",44.9700919,-85.6481359,"point({srid:4326, x:-85.6481359, y:44.9700919})","Sutton Park, Suttons Bay, MI 49682",US,US,MI,Michigan
EV-20250622-3136,https://paddleguru.com/races/HudsonRiverCup2025,Hudson River Cup 2025,2025-06-22,"Frank Sinatra Dr, Hoboken, NJ 07030, USA",40.74836699999999,-74.0239893,"point({srid:4326, x:-74.0239893, y:40.74836699999999})","Hoboken Cove Community Boathouse, Hoboken, NJ",US,US,NJ,New Jersey
EV-20250628-2966,https://paddleguru.com/races/WatermanChallengePaddleboardRaceSwamistoWindansea2025,"Waterman Challenge Paddleboard Race, Swamis to Windansea 2025",2025-06-28,"Encinitas, CA, USA",33.0369867,-117.2919818,"point({srid:4326, x:-117.2919818, y:33.0369867})","Encinitas, CA, USA",US,US,CA,California
EV-20250628-2967,https://paddleguru.com/races/EastofMauiEYCChesapeakeStandUpChallenge2025,East of Maui- EYC Chesapeake Stand Up Challenge 2025,2025-06-28,"317 First St, Annapolis, MD 21403, USA",38.9748793,-76.479579,"point({srid:4326, x:-76.479579, y:38.9748793})","317 First St, Annapolis, MD, United States",US,US,MD,Maryland
EV-20250628-2993,https://paddleguru.com/races/TAHOEPADDLEJAMTahoeWatermanPaddleRacing2025,TAHOE PADDLE JAM -  Tahoe Waterman Paddle Racing 2025,2025-06-28,"5166 N Lake Blvd, Carnelian Bay, CA 96140, USA",39.2264192,-120.0798607,"point({srid:4326, x:-120.0798607, y:39.2264192})","5166 North Lake Boulevard, Carnelian Bay, CA, USA",US,US,CA,California
EV-20250712-3140,https://paddleguru.com/races/MidwestPaddleFestival2025,Midwest Paddle Festival 2025,2025-07-12,"Oconomowoc, WI 53066, USA",43.1114407,-88.4994512,"point({srid:4326, x:-88.4994512, y:43.1114407})","Oconomowoc, WI, USA",US,US,WI,Wisconsin
EV-20250718-3100,https://paddleguru.com/races/USASUPNationalChampionships2025atBelleIsleClassic,USA SUP National Championships 2025 at Belle Isle Classic,2025-07-18,"Belle Isle, Detroit, MI, USA",42.3379702,-82.9856398,"point({srid:4326, x:-82.9856398, y:42.3379702})","Belle Isle State Park, Detroit, MI, USA",US,US,MI,Michigan
EV-20250719-2980,https://paddleguru.com/races/PaddleLagunaBeach20253rdAnnual,Paddle Laguna Beach 2025 (3rd Annual),2025-07-19,"El Moro Canyon Trail, 8471 N Coast Hwy, Laguna Beach, CA 92651, USA",33.5663353,-117.8214065,"point({srid:4326, x:-117.8214065, y:33.5663353})",El Moro Crystal Cove,US,US,CA,California
EV-20250726-2968,https://paddleguru.com/races/Beach2Beach2025,Beach2Beach 2025,2025-07-26,"21 Park Ave, Highland Park, IL 60035, USA",42.1902271,-87.7879571,"point({srid:4326, x:-87.7879571, y:42.1902271})","North Shore Yacht Club NSYC, 21 Park Avenue, Highland Park, IL 60035",US,US,IL,Illinois
EV-20250727-3156,https://paddleguru.com/races/TheJVCRodeo,The JVC Rodeo,2025-07-27,"1 Whitecliffs Dr, Newport Beach, CA 92660, USA",33.6252633,-117.8938935,"point({srid:4326, x:-117.8938935, y:33.6252633})","1 Whitecliffs Dr, Newport Beach, CA, United States",US,US,CA,California
EV-20250802-3141,https://paddleguru.com/races/FlyingFishSummerChallenge2025,Flying Fish Summer Challenge 2025,2025-08-02,"2325 NE Indian River Dr, Jensen Beach, FL 34957, USA",27.2333971,-80.21834109999999,"point({srid:4326, x:-80.21834109999999, y:27.2333971})","2325 NE Indian River Dr, Jensen Beach, FL 34957, United States",US,US,FL,Florida
EV-20250808-3157,https://paddleguru.com/races/SUPElCaminoReal2025,SUP El Camino Real 2025,2025-08-08,"Fisherman's Park, 1200 Willow St, Bastrop, TX 78602, USA",30.112383,-97.32431590000002,"point({srid:4326, x:-97.32431590000002, y:30.112383})","Fisherman's Park, Willow Street, Bastrop, TX, United States",US,US,TX,Texas
EV-20250809-2995,https://paddleguru.com/races/2025GreatLakesPaddleChallenge,2025 Great Lakes Paddle Challenge,2025-08-09,"Kirk Park, 9791 Lakeshore Ave, West Olive, MI 49460, USA",42.9462362,-86.21339859999999,"point({srid:4326, x:-86.21339859999999, y:42.9462362})","Kirk Park, West Olive, MI, USA",US,US,MI,Michigan
EV-20250809-3004,https://paddleguru.com/races/TAHOEDOWNWINDChampionshipsTahoeWatermanPaddleRacing2025,TAHOE DOWNWIND Championships -Tahoe Waterman Paddle Racing 2025,2025-08-09,"5166 N Lake Blvd, Carnelian Bay, CA 96140, USA",39.22645,-120.0798846,"point({srid:4326, x:-120.0798846, y:39.22645})","Waterman Landing 5166 North Lake Boulevard, Carnelian Bay, CA, USA",US,US,CA,California
